Category,City,Country/Region,Customer ID,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Segments Abbrev,Selected Year,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit
Office Supplies,Houston,United States,DP-13000,Darren Powers,Message Book,03-01-2019,US-2019-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,CON,FALSE,07-01-2019,Standard Class,Texas,Paper,0.2,$0.01K
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,GBC,04-01-2019,US-2019-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,HO,FALSE,08-01-2019,Standard Class,Illinois,Binders,0.8,-$0.01K
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,Avery,04-01-2019,US-2019-112326,60540,Avery 508,Central,Home Office,HO,FALSE,08-01-2019,Standard Class,Illinois,Labels,0.2,$0.00K
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,SAFCO,04-01-2019,US-2019-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,HO,FALSE,08-01-2019,Standard Class,Illinois,Storage,0.2,-$0.06K
Office Supplies,Philadelphia,United States,MB-18085,Mick Brown,Avery,05-01-2019,US-2019-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,CON,FALSE,12-01-2019,Standard Class,Pennsylvania,Art,0.2,$0.00K
Furniture,Henderson,United States,ME-17320,Maria Etezadi,Global,06-01-2019,US-2019-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,HO,FALSE,10-01-2019,Standard Class,Kentucky,Chairs,0,$0.75K
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Rogers,06-01-2019,US-2019-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,HO,FALSE,10-01-2019,Standard Class,Kentucky,Art,0,$0.00K
Office Supplies,Athens,United States,JO-15145,Jack O'Briant,Dixon,06-01-2019,US-2019-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,COR,FALSE,07-01-2019,First Class,Georgia,Art,0,$0.01K
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Ibico,06-01-2019,US-2019-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,HO,FALSE,10-01-2019,Standard Class,Kentucky,Binders,0,$0.27K
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Alliance,06-01-2019,US-2019-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,HO,FALSE,10-01-2019,Standard Class,Kentucky,Fasteners,0,$0.00K
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Southworth,06-01-2019,US-2019-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,HO,FALSE,10-01-2019,Standard Class,Kentucky,Paper,0,$0.00K
Office Supplies,Los Angeles,United States,LS-17230,Lycoris Saunders,Xerox,06-01-2019,US-2019-130813,90049,Xerox 225,West,Consumer,CON,FALSE,08-01-2019,Second Class,California,Paper,0,$0.01K
Technology,Henderson,United States,ME-17320,Maria Etezadi,Other,06-01-2019,US-2019-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,HO,FALSE,10-01-2019,Standard Class,Kentucky,Phones,0,$0.20K
Technology,Henderson,United States,ME-17320,Maria Etezadi,GE,06-01-2019,US-2019-167199,42420,GE 30524EE4,South,Home Office,HO,FALSE,10-01-2019,Standard Class,Kentucky,Phones,0,$0.11K
Furniture,Huntsville,United States,VS-21820,Vivek Sundaresam,Howard Miller,07-01-2019,US-2019-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,CON,FALSE,12-01-2019,Standard Class,Texas,Furnishings,0.6,-$0.05K
Office Supplies,Huntsville,United States,VS-21820,Vivek Sundaresam,Acco,07-01-2019,US-2019-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,CON,FALSE,12-01-2019,Standard Class,Texas,Binders,0.8,-$0.02K
Office Supplies,Laredo,United States,MS-17830,Melanie Seite,Newell,09-01-2019,US-2019-135405,78041,Newell 312,Central,Consumer,CON,FALSE,13-01-2019,Standard Class,Texas,Art,0.2,$0.00K
Technology,Laredo,United States,MS-17830,Melanie Seite,Memorex,09-01-2019,US-2019-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,CON,FALSE,13-01-2019,Standard Class,Texas,Accessories,0.2,$0.01K
Furniture,Springfield,United States,AJ-10780,Anthony Jacobs,Howard Miller,10-01-2019,US-2019-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,COR,FALSE,15-01-2019,Standard Class,Virginia,Furnishings,0,$0.02K
Office Supplies,Springfield,United States,AJ-10780,Anthony Jacobs,Avery,10-01-2019,US-2019-149020,22153,Avery 482,South,Corporate,COR,FALSE,15-01-2019,Standard Class,Virginia,Labels,0,$0.00K
Furniture,Dover,United States,SV-20365,Seth Vernon,DAX,11-01-2019,US-2019-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,CON,FALSE,14-01-2019,First Class,Delaware,Furnishings,0,$0.00K
Furniture,San Francisco,United States,BD-11605,Brian Dahlen,O'Sullivan,13-01-2019,US-2019-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,CON,FALSE,18-01-2019,Standard Class,California,Bookcases,0.15,$0.00K
Furniture,Mount Pleasant,United States,ND-18370,Natalie DeCherney,Global,13-01-2019,US-2019-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,CON,FALSE,16-01-2019,Second Class,South Carolina,Chairs,0,$0.09K
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,Other,13-01-2019,US-2019-157147,94109,4009 Highlighters by Sanford,West,Consumer,CON,FALSE,18-01-2019,Standard Class,California,Art,0,$0.01K
Office Supplies,Newark,United States,MM-17920,Michael Moore,Avery,13-01-2019,US-2019-118192,43055,Avery Metallic Poly Binders,East,Consumer,CON,FALSE,18-01-2019,Standard Class,Ohio,Binders,0.7,$0.00K
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,3-ring staple pack,13-01-2019,US-2019-162775,71111,3-ring staple pack,South,Corporate,COR,FALSE,15-01-2019,Second Class,Louisiana,Binders,0,$0.00K
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,Other,13-01-2019,US-2019-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,COR,FALSE,15-01-2019,Second Class,Louisiana,Envelopes,0,$0.03K
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,Staple envelope,13-01-2019,US-2019-162775,71111,Staple envelope,South,Corporate,COR,FALSE,15-01-2019,Second Class,Louisiana,Envelopes,0,$0.01K
Office Supplies,Newark,United States,MM-17920,Michael Moore,Xerox,13-01-2019,US-2019-118192,43055,Xerox 1923,East,Consumer,CON,FALSE,18-01-2019,Standard Class,Ohio,Paper,0.2,$0.01K
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,Fellowes,13-01-2019,US-2019-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,COR,FALSE,15-01-2019,Second Class,Louisiana,Storage,0,$0.03K
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,Tennsco,13-01-2019,US-2019-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,CON,FALSE,18-01-2019,Standard Class,California,Storage,0,$0.24K
Technology,Bossier City,United States,CS-12250,Chris Selesnick,Plantronics,13-01-2019,US-2019-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,COR,FALSE,15-01-2019,Second Class,Louisiana,Accessories,0,$0.26K
Furniture,Philadelphia,United States,BS-11590,Brendan Sweed,Sauder,14-01-2019,US-2019-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,COR,FALSE,15-01-2019,First Class,Pennsylvania,Bookcases,0.5,-$0.05K
Technology,Roswell,United States,EH-13990,Erica Hackney,Logitech,15-01-2019,US-2019-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,CON,FALSE,17-01-2019,First Class,Georgia,Accessories,0,$0.07K
Furniture,Philadelphia,United States,DL-13315,Delfina Latchford,DAX,16-01-2019,US-2019-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,CON,FALSE,18-01-2019,Second Class,Pennsylvania,Furnishings,0.2,$0.03K
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,GBC,16-01-2019,US-2019-115791,19134,GBC Linen Binding Covers,East,Consumer,CON,FALSE,18-01-2019,Second Class,Pennsylvania,Binders,0.7,-$0.01K
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,Other,16-01-2019,US-2019-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,CON,FALSE,18-01-2019,Second Class,Pennsylvania,Labels,0.2,$0.01K
Technology,Philadelphia,United States,DL-13315,Delfina Latchford,AT&T,16-01-2019,US-2019-115791,19134,AT&T 841000 Phone,East,Consumer,CON,FALSE,18-01-2019,Second Class,Pennsylvania,Phones,0.4,-$0.03K
Office Supplies,Springfield,United States,DW-13195,David Wiener,Fellowes,18-01-2019,US-2019-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,COR,FALSE,21-01-2019,Second Class,Oregon,Appliances,0.2,$0.01K
Furniture,Scottsdale,United States,TS-21340,Toby Swindell,O'Sullivan,19-01-2019,US-2019-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,CON,FALSE,20-01-2019,First Class,Arizona,Bookcases,0.7,-$0.32K
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,GBC,19-01-2019,US-2019-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,CON,FALSE,20-01-2019,First Class,Arizona,Binders,0.7,-$0.02K
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,Tyvek,19-01-2019,US-2019-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,CON,FALSE,20-01-2019,First Class,Arizona,Envelopes,0.2,$0.04K
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,TOPS,19-01-2019,US-2019-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,CON,FALSE,20-01-2019,First Class,Arizona,Paper,0.2,$0.02K
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,Hon,20-01-2019,US-2019-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,CON,FALSE,26-01-2019,Standard Class,Arkansas,Chairs,0,$0.22K
Furniture,Westland,United States,XP-21865,Xylona Preis,Ultra,20-01-2019,US-2019-167927,48185,Ultra Door Push Plate,Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Furnishings,0,$0.00K
Furniture,Westland,United States,XP-21865,Xylona Preis,Eldon,20-01-2019,US-2019-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Furnishings,0,$0.03K
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,Eldon,20-01-2019,US-2019-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,CON,FALSE,26-01-2019,Standard Class,Arkansas,Furnishings,0,$0.01K
Furniture,Los Angeles,United States,MV-17485,Mark Van Huff,Eldon,20-01-2019,US-2019-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,CON,FALSE,25-01-2019,Standard Class,California,Furnishings,0,$0.01K
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Holmes,20-01-2019,US-2019-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Appliances,0.1,$0.09K
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,Newell,20-01-2019,US-2019-147627,72401,Newell 351,South,Consumer,CON,FALSE,26-01-2019,Standard Class,Arkansas,Art,0,$0.01K
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,Newell,20-01-2019,US-2019-147627,72401,Newell 327,South,Consumer,CON,FALSE,26-01-2019,Standard Class,Arkansas,Art,0,$0.00K
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Panasonic,20-01-2019,US-2019-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Art,0,$0.01K
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Acco,20-01-2019,US-2019-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Binders,0,$0.01K
Office Supplies,Smyrna,United States,MM-18280,Muhammed MacIntyre,GBC,20-01-2019,US-2019-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,COR,FALSE,26-01-2019,Standard Class,Tennessee,Binders,0.7,-$0.05K
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Storex,20-01-2019,US-2019-167927,48185,Storex Dura Pro Binders,Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Binders,0,$0.01K
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,Staple envelope,20-01-2019,US-2019-147627,72401,Staple envelope,South,Consumer,CON,FALSE,26-01-2019,Standard Class,Arkansas,Envelopes,0,$0.01K
Office Supplies,Los Angeles,United States,MV-17485,Mark Van Huff,Wirebound,20-01-2019,US-2019-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,CON,FALSE,25-01-2019,Standard Class,California,Paper,0,$0.01K
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Eldon,20-01-2019,US-2019-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Storage,0,$0.00K
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Fellowes,20-01-2019,US-2019-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,CON,FALSE,26-01-2019,Standard Class,Michigan,Storage,0,$0.02K
Technology,Jonesboro,United States,HL-15040,Hunter Lopez,Apple,20-01-2019,US-2019-147627,72401,Apple iPhone 5C,South,Consumer,CON,FALSE,26-01-2019,Standard Class,Arkansas,Phones,0,$0.18K
Furniture,Miami,United States,TB-21400,Tom Boeckenhauer,Ultra,21-01-2019,US-2019-110422,33180,Ultra Door Pull Handle,South,Consumer,CON,FALSE,23-01-2019,Second Class,Florida,Furnishings,0.2,$0.00K
Office Supplies,Lafayette,United States,SG-20605,Speros Goranitis,Alliance,23-01-2019,US-2019-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,CON,FALSE,27-01-2019,Standard Class,Indiana,Fasteners,0,$0.00K
Office Supplies,Las Vegas,United States,IM-15055,Ionia McGrath,Xerox,23-01-2019,US-2019-102645,89115,Xerox 195,West,Consumer,CON,FALSE,28-01-2019,Standard Class,Nevada,Paper,0,$0.02K
Furniture,Rapid City,United States,CA-11965,Carol Adams,SAFCO,26-01-2019,US-2019-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,COR,FALSE,29-01-2019,First Class,South Dakota,Bookcases,0,$0.04K
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,Eldon,26-01-2019,US-2019-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,HO,FALSE,31-01-2019,Standard Class,Virginia,Furnishings,0,$0.00K
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,GE,26-01-2019,US-2019-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,HO,FALSE,31-01-2019,Standard Class,Virginia,Furnishings,0,$0.03K
